cluster,tree_id,newick
1,1,"(((((((L28:0.252957,L29:0.252957)18:0.290161,L19:0.543118)12:0.0202342,(((L36:0.0856529,L37:0.0856529)32:0.00681015,L33:0.092463)22:0.250117,(L40:0.0621143,L41:0.0621143)23:0.280466)13:0.220772)10:0.0410359,L11:0.604388)6:0.168179,((L38:0.0666589,L39:0.0666589)20:0.458681,L21:0.52534)7:0.247227)4:0.0826093,(((((L34:0.0872274,L35:0.0872274)30:0.0205154,L31:0.107743)26:0.158078,L27:0.265821)24:0.0681043,L25:0.333925)14:0.383934,L9:0.717859)5:0.137318)2:0.310379,(L17:0.546581,L16:0.546581)3:0.618974);"
1,2,"((((((L32:0.252957,L33:0.252957)18:0.310395,(((L42:0.0856529,L43:0.0856529)38:0.00681015,L39:0.092463)24:0.250117,(L46:0.0621143,L47:0.0621143)25:0.280466)15:0.220772)10:0.0410359,L11:0.604388)6:0.168179,((L44:0.0666589,L45:0.0666589)22:0.458681,L23:0.52534)7:0.247227)4:0.0826093,(((((L40:0.0872274,L41:0.0872274)36:0.0205154,L37:0.107743)28:0.158078,L29:0.265821)26:0.0681043,L27:0.333925)16:0.218285,L17:0.55221)8:0.302967)2:0.310379,((((L34:0.252957,L35:0.252957)31:0.000833215,L30:0.25379)20:0.276875,L21:0.530665)12:0.0406775,L13:0.571342)3:0.594213);"
1,3,"(((((L17:0.563352,(((L38:0.0856529,L39:0.0856529)34:0.00681015,L35:0.092463)20:0.250117,(L42:0.0621143,L43:0.0621143)21:0.280466)13:0.220772)10:0.0410359,((L30:0.252957,L31:0.252957)27:0.0194977,L26:0.272455)11:0.331933)6:0.168179,((L22:0.340976,L23:0.340976)19:0.184364,(L40:0.0666589,L41:0.0666589)18:0.458681)7:0.247227)4:0.0826093,(((((L36:0.0872274,L37:0.0872274)32:0.0205154,L33:0.107743)28:0.158078,L29:0.265821)24:0.0681043,L25:0.333925)14:0.218285,L15:0.55221)8:0.302967)2:0.310379,L3:1.16556);"
1,4,"(((((((L42:0.0856529,L43:0.0856529)38:0.00681015,L39:0.092463)26:0.250117,(L48:0.0621143,L49:0.0621143)27:0.280466)15:0.261808,((L46:0.0666589,L47:0.0666589)31:0.211213,L30:0.277872)13:0.326516)8:0.152812,L9:0.7572)6:0.0153671,((L44:0.0666589,L45:0.0666589)20:0.458681,L21:0.52534)7:0.247227)4:0.0826093,(((((((L40:0.0872274,L41:0.0872274)36:0.0205154,L37:0.107743)32:0.158078,L33:0.265821)28:0.0681043,L29:0.333925)22:0.180691,L35:0.514616)16:0.0375938,L17:0.55221)10:0.165649,((L51:0.0411154,L50:0.0411154)25:0.463308,L24:0.504424)11:0.213435)5:0.137318);"
1,5,"(((((L34:0.252957,L35:0.252957)22:0.290161,((L46:0.0666589,L47:0.0666589)37:0.125243,L36:0.191902)23:0.351216)18:0.0202342,((((L44:0.0856529,L45:0.0856529)40:0.00681015,L41:0.092463)28:0.250117,(L48:0.0621143,L49:0.0621143)29:0.280466)26:0.0300213,L27:0.372601)19:0.190751)16:0.209215,L25:0.772567)6:0.0826093,(L12:0.717859,((((((L42:0.0872274,L43:0.0872274)38:0.0205154,L39:0.107743)32:0.158078,L33:0.265821)30:0.0681043,L31:0.333925)20:0.218285,L21:0.55221)14:0.0782677,L15:0.630478)10:0.0873814)7:0.137318);"
1,6,"(((((((L26:0.252957,L27:0.252957)16:0.290161,L17:0.543118)12:0.0202342,(((L34:0.0856529,L35:0.0856529)30:0.00681015,L31:0.092463)20:0.250117,(L38:0.0621143,L39:0.0621143)21:0.280466)13:0.220772)10:0.0410359,L11:0.604388)6:0.168179,((L36:0.0666589,L37:0.0666589)18:0.458681,L19:0.52534)7:0.247227)4:0.0826093,((((((L32:0.0872274,L33:0.0872274)28:0.0205154,L29:0.107743)24:0.158078,L25:0.265821)22:0.0681043,L23:0.333925)14:0.218285,L15:0.55221)8:0.165649,L9:0.717859)5:0.137318)2:0.310379,L3:1.16556);"
1,7,"((((((L42:0.0872274,L43:0.0872274)38:0.0205154,L39:0.107743)30:0.226182,L29:0.333925)18:0.218285,L19:0.55221)10:0.165649,L11:0.717859)5:0.447696,(((L46:0.0666589,L47:0.0666589)22:0.61322,L13:0.679879)9:0.0926885,(((((L36:0.201445,L37:0.201445)32:0.0515122,L33:0.252957)20:0.290161,L21:0.543118)16:0.0202342,(((L44:0.0856529,L45:0.0856529)40:0.00681015,(L51:0.0158155,L50:0.0158155)41:0.0766475)26:0.250117,(L48:0.0621143,L49:0.0621143)27:0.280466)24:0.220772)14:0.0410359,(L34:0.217686,L35:0.217686)15:0.386702)8:0.168179)7:0.392988);"
1,8,"(((((((L28:0.252957,L29:0.252957)16:0.290161,L17:0.543118)12:0.0202342,((L46:0.0856529,L47:0.0856529)40:0.00681015,L41:0.092463)22:0.470889)10:0.0410359,L11:0.604388)6:0.168179,(((L48:0.0666589,L49:0.0666589)36:0.046649,L37:0.113308)18:0.412032,L19:0.52534)7:0.247227)4:0.0826093,(((L27:0.452863,(((L50:0.0621143,L51:0.0621143)43:0.02628,L42:0.0883943)31:0.164563,L30:0.252957)21:0.199906)14:0.0993472,(((L44:0.0872274,L45:0.0872274)38:0.0205154,L39:0.107743)33:0.109269,L32:0.217012)15:0.335198)8:0.165649,L9:0.717859)5:0.137318)2:0.310379,L3:1.16556);"
1,9,"((((((L28:0.252957,L29:0.252957)16:0.310395,(((L36:0.0856529,L37:0.0856529)32:0.00681015,L33:0.092463)22:0.250117,(L40:0.0621143,L41:0.0621143)23:0.280466)13:0.220772)10:0.0410359,(L21:0.351126,L20:0.351126)11:0.253262)6:0.168179,(((L42:0.00423903,L43:0.00423903)39:0.0624199,L38:0.0666589)18:0.458681,L19:0.52534)7:0.247227)4:0.0826093,((((((L34:0.0872274,L35:0.0872274)30:0.0205154,L31:0.107743)26:0.158078,L27:0.265821)24:0.0681043,L25:0.333925)14:0.218285,L15:0.55221)8:0.165649,L9:0.717859)5:0.137318)2:0.310379,L3:1.16556);"
1,10,"((((((L30:0.252957,L31:0.252957)18:0.290161,L19:0.543118)14:0.0202342,(((L40:0.0856529,L41:0.0856529)36:0.00681015,L37:0.092463)24:0.250117,(L44:0.0621143,L45:0.0621143)25:0.280466)15:0.220772)12:0.0410359,L13:0.604388)6:0.168179,((L42:0.0666589,L43:0.0666589)22:0.458681,L23:0.52534)7:0.247227)4:0.0826093,((((((L38:0.0872274,L39:0.0872274)34:0.0205154,L35:0.107743)28:0.158078,L29:0.265821)26:0.271945,L20:0.537766)17:0.180093,L11:0.717859)8:0.0318409,(L33:0.157311,L32:0.157311)9:0.592389)5:0.105477);"
