run_dir,pred_file,true_file,n,ARI,Purity
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev50_p75drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev50_p75drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev50_p75drop_rep1\labels.csv,128,0.301124,0.585938
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev50_p75drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev50_p75drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev50_p75drop_rep2\labels.csv,128,0.157892,0.500000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep0\labels.csv,128,0.797641,0.921875
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep1\labels.csv,128,0.799781,0.921875
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p0drop_rep2\labels.csv,128,0.616882,0.835938
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep0\labels.csv,128,0.641396,0.859375
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep1\labels.csv,128,0.760858,0.906250
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p10drop_rep2\labels.csv,128,0.741450,0.875000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep0\labels.csv,128,0.374932,0.671875
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep1\labels.csv,128,0.690206,0.875000
